ordine	data	ora	altezza	temperatura	lido	ventoMS	ventomax	dirventoGN
383	14/11/19	19.664	0.27	13.5	0.44	6.7	7.7	48
384	14/11/19	19.830	0.29	13.4	0.47	7.4	8.8	51
385	14/11/19	20.000	0.31	13.5	0.49	8.2	9.5	42
386	14/11/19	20.166	0.34	13.5	0.51	8.3	9.4	42
387	14/11/19	20.333	0.37	13.6	0.53	7.7	8.9	41
388	14/11/19	20.498	0.39	13.6	0.56	7.8	9.2	45
389	14/11/19	20.664	0.42	13.7	0.59	8.2	9	50
390	14/11/19	20.830	0.46	13.7	0.63	8	8.9	53
391	14/11/19	21.000	0.49	13.8	0.65	7.4	8.5	53
392	14/11/19	21.166	0.52	13.8	0.67	7.2	8.6	49
393	14/11/19	21.333	0.55	13.6	0.7	7.2	8.5	47
394	14/11/19	21.498	0.57	13.5	0.73	7.9	8.9	55
395	14/11/19	21.664	0.6	13.4	0.75	8.8	10.1	56
396	14/11/19	21.830	0.63	13.4	0.79	8.4	9.2	57
397	14/11/19	22.000	0.65	13.5	0.82	8.4	9.8	56
398	14/11/19	22.166	0.68	13.5	0.84	8.1	9.1	53
399	14/11/19	22.333	0.71	13.7	0.88	7.3	8	53
400	14/11/19	22.498	0.74	13.7	0.9	7.2	8.3	48
401	14/11/19	22.664	0.76	13.7	0.92	7.3	8.6	48
402	14/11/19	22.830	0.79	13.7	0.96	8.2	9.6	47
403	14/11/19	23.000	0.82	13.7	0.98	8.4	9.3	49
404	14/11/19	23.166	0.84	13.6	0.97	8.2	9.5	52
405	14/11/19	23.333	0.86	13.6	0.98	8.4	9.7	54
406	14/11/19	23.498	0.88	13.6	0.98	8.5	9.8	56
407	14/11/19	23.664	0.89	13.5	0.99	8.1	9.4	52
408	14/11/19	23.830	0.91	13.5	0.99	8.3	9.3	44
409	15/11/19	00.000	0.92	13.7	0.98	7	7.9	44
410	15/11/19	00.166	0.93	13.8	0.99	7.3	8.6	42
411	15/11/19	00.333	0.94	13.9	1	8.1	10.9	46
412	15/11/19	00.498	0.95	13.9	1	7.9	9.1	45
413	15/11/19	00.664	0.95	14	0.99	7.5	8.7	42
414	15/11/19	00.830	0.96	14.1	0.99	7.4	8.7	38
415	15/11/19	01.000	0.96	14.1	0.99	8.4	10.3	42
416	15/11/19	01.166	0.96	14.2	1	9.8	11.3	31
417	15/11/19	01.333	0.97	14.2	0.99	8.3	8.7	352
418	15/11/19	01.498	0.98	14.2	0.98	7.9	12.4	20
419	15/11/19	01.664	0.97	14.2	0.97	9.2	12.1	50
420	15/11/19	01.830	0.97	14.2	0.97	8.7	10.1	17
421	15/11/19	02.000	0.96	14.1	0.96	7.6	10	343
422	15/11/19	02.166	0.96	14.2	0.93	6.7	7.9	317
423	15/11/19	02.333	0.95	14.1	0.92	4.7	7.6	27
424	15/11/19	02.498	0.94	14.1	0.87	7.1	8.3	24
425	15/11/19	02.664	0.93	14.1	0.86	6.4	8.1	17
426	15/11/19	02.830	0.9	14.1	0.88	6.4	8	30
427	15/11/19	03.000	0.89	14.1	0.87	7.5	9.3	29
428	15/11/19	03.166	0.88	14.1	0.85	6.6	8	27
429	15/11/19	03.333	0.87	14	0.83	7.3	10.2	38
430	15/11/19	03.498	0.84	13.9	0.81	8	8.9	40
431	15/11/19	03.664	0.82	13.8	0.83	7.8	9.5	41
432	15/11/19	03.830	0.82	13.8	0.82	7.7	8.4	42
433	15/11/19	04.000	0.81	13.8	0.8	8.4	9.3	42
