ora	altezza
22.498	0.74
22.664	0.76
22.830	0.79
23.000	0.82
23.166	0.84
23.333	0.86
23.498	0.88
23.664	0.89
23.830	0.91
00.000	0.92
00.166	0.93
00.333	0.94
00.498	0.95
00.664	0.95
00.830	0.96
01.000	0.96
01.166	0.96
01.333	0.97
01.498	0.98
01.664	0.97
01.830	0.97
02.000	0.96
02.166	0.96
02.333	0.95
02.498	0.94
02.664	0.93
02.830	0.9
03.000	0.89
03.166	0.88
03.333	0.87
03.498	0.84
03.664	0.82
03.830	0.82
04.000	0.81
04.166	0.8
04.333	0.8
04.498	0.79
04.664	0.78
04.830	0.79
05.000	0.79
05.166	0.8
05.333	0.8
05.498	0.8
05.664	0.81
05.830	0.83
06.000	0.85
06.166	0.87
06.333	0.88
06.498	0.9
06.664	0.92
06.830	0.95
07.000	0.98
07.166	1
07.333	1.03
07.498	1.05
07.664	1.08
07.830	1.12
08.000	1.14
08.166	1.16
08.333	1.18
08.498	1.22
08.664	1.25
08.830	1.27
09.000	1.3
09.166	1.32
09.333	1.33
09.498	1.37
09.664	1.39
09.830	1.41
10.000	1.44
10.166	1.45
10.333	1.46
10.498	1.48
10.664	1.5
10.830	1.51
11.000	1.52
11.166	1.53
11.333	1.53
11.498	1.53
11.664	1.54
11.830	1.53
12.000	1.52
12.166	1.51
12.333	1.5
12.498	1.49
12.664	1.46
12.830	1.45
13.000	1.42
13.166	1.39
13.333	1.36
13.498	1.34
13.664	1.31
13.830	1.29
14.000	1.26
14.166	1.22
14.333	1.18
14.498	1.15
14.664	1.1
14.830	1.05
15.000	1.01
15.166	0.99
15.333	0.96
15.498	0.93
15.664	0.9
15.830	0.87
16.000	0.84
16.166	0.82
16.333	0.79
16.498	0.78
16.664	0.76
16.830	0.73
17.000	0.72
17.166	0.71
17.333	0.69
17.498	0.67
17.664	0.66
17.830	0.65
18.000	0.65
18.166	0.65
18.333	0.63
18.498	0.63
18.664	0.61
18.830	0.6
19.000	0.61
19.166	0.61
19.333	0.6
19.498	0.61
19.664	0.6
19.830	0.62
20.000	0.64
20.166	0.64
20.333	0.66
20.498	0.68
20.664	0.69
20.830	0.72
21.000	0.74
21.166	0.78
21.333	0.81
21.498	0.84
21.664	0.86
21.830	0.88
22.000	0.91
22.166	0.96
22.333	0.98
22.498	1.01
22.664	1.03
22.830	1.07
23.000	1.09
23.166	1.11
23.333	1.13
23.498	1.15
23.664	1.14
23.830	1.15
00.000	1.15

