ordine	data	ora	altezza	temperatura	lido	ventoMS	ventomax	dirventoGN
577	16/11/19	04.000	0.8	13.6	0.73	5.3	6.7	107
578	16/11/19	04.166	0.79	13.5	0.69	5.7	6.2	101
579	16/11/19	04.333	0.77	13.5	0.63	5.1	5.8	96
580	16/11/19	04.498	0.74	13.5	0.59	5.2	6.2	95
581	16/11/19	04.664	0.71	13.5	0.62	5.7	6.4	98
582	16/11/19	04.830	0.68	13.5	0.63	5.5	6.2	93
583	16/11/19	05.000	0.67	13.5	0.6	5.7	6.7	107
584	16/11/19	05.166	0.65	13.4	0.63	5.7	6.4	112
585	16/11/19	05.333	0.64	13.4	0.61	5.5	6.1	110
586	16/11/19	05.498	0.62	13.4	0.62	5.3	6.3	118
587	16/11/19	05.664	0.61	13.4	0.67	5.5	6.2	132
588	16/11/19	05.830	0.61	13.4	0.71	4.9	5.6	145
589	16/11/19	06.000	0.62	13.4	0.69	3.8	4.1	154
590	16/11/19	06.166	0.63	13.4	0.71	5	9	204
591	16/11/19	06.333	0.64	13.4	0.68	7.3	10.7	208
592	16/11/19	06.498	0.64	13.5	0.73	8.2	10.1	244
593	16/11/19	06.664	0.64	13.5	0.71	7	8.8	232
594	16/11/19	06.830	0.66	13.6	0.7	7.9	8.9	230
595	16/11/19	07.000	0.66	13.6	0.72	8.2	10.1	234
596	16/11/19	07.166	0.67	13.6	0.73	9.8	11.4	236
597	16/11/19	07.333	0.68	13.6	0.71	9.5	10.9	244
598	16/11/19	07.498	0.67	13.6	0.73	8.4	9	238
599	16/11/19	07.664	0.68	13.6	0.72	8	9	243
600	16/11/19	07.830	0.7	13.6	0.76	8.6	9.8	244
601	16/11/19	08.000	0.71	13.6	0.8	8.4	10.3	241
602	16/11/19	08.166	0.72	13.6	0.82	8.1	9.1	240
603	16/11/19	08.333	0.73	13.6	0.85	7.4	8.2	246
604	16/11/19	08.498	0.74	13.6	0.86	6.4	7.1	254
605	16/11/19	08.664	0.77	13.6	0.85	6.1	7.7	260
606	16/11/19	08.830	0.78	13.6	0.91	5.5	6.2	259
607	16/11/19	09.000	0.8	13.6	0.93	5.6	6.2	256
608	16/11/19	09.166	0.82	13.6	0.93	5.4	6.7	252
609	16/11/19	09.333	0.85	13.6	0.95	5.5	5.8	262
610	16/11/19	09.498	0.86	13.6	0.95	5.8	6.7	280
611	16/11/19	09.664	0.88	13.6	0.93	5.4	5.8	302
612	16/11/19	09.830	0.9	13.6	0.93	5.1	5.3	312
613	16/11/19	10.000	0.9	13.6	0.97	4.1	4.7	311
614	16/11/19	10.166	0.91	13.6	0.96	3.8	4	313
615	16/11/19	10.333	0.93	13.6	1	3.3	4	322
616	16/11/19	10.498	0.94	13.7	1.03	3	4.2	311
617	16/11/19	10.664	0.96	13.7	0.97	2.9	3.5	314
618	16/11/19	10.830	0.96	13.7	0.96	3.6	4.3	313
619	16/11/19	11.000	0.96	13.7	0.97	3.9	4.4	321
620	16/11/19	11.166	0.96	13.7	0.96	2.8	3.4	332
621	16/11/19	11.333	0.97	13.7	0.92	2.7	3	324
622	16/11/19	11.498	0.97	13.7	0.9	2	2.7	358
623	16/11/19	11.664	0.96	13.7	0.9	1.6	1.8	347
624	16/11/19	11.830	0.95	13.8	0.87	1.3	1.5	33
625	16/11/19	12.000	0.94	13.7	0.85	1.6	2.3	56
626	16/11/19	12.166	0.93	13.7	0.86	1.9	2.3	52
627	16/11/19	12.333	0.91	13.7	0.85	1.3	1.6	354
628	16/11/19	12.498	0.9	13.7	0.82	1.6	2.3	25
629	16/11/19	12.664	0.88	13.7	0.79	2.4	3.5	52
630	16/11/19	12.830	0.85	13.7	0.75	2.7	3.2	54
631	16/11/19	13.000	0.83	13.7	0.74	2.4	2.8	61
632	16/11/19	13.166	0.81	13.7	0.72	2.6	3.1	59
633	16/11/19	13.333	0.79	13.7	0.69	2.6	3	61
634	16/11/19	13.498	0.77	13.7	0.65	2.6	2.9	63
635	16/11/19	13.664	0.75	13.7	0.62	2.4	3	69
636	16/11/19	13.830	0.72	13.7	0.62	2.9	3.4	66
637	16/11/19	14.000	0.69	13.7	0.6	2.9	3.4	69
638	16/11/19	14.166	0.67	13.7	0.55	2.8	3.3	62
639	16/11/19	14.333	0.65	13.7	0.49	2.6	3.3	68
640	16/11/19	14.498	0.61	13.6	0.48	2.7	2.9	64
641	16/11/19	14.664	0.59	13.6	0.47	2.7	3.1	33
642	16/11/19	14.830	0.56	13.6	0.45	2.8	3.5	26
643	16/11/19	15.000	0.53	13.6	0.41	2.6	3.1	20
644	16/11/19	15.166	0.51	13.6	0.35	3.1	4	2
645	16/11/19	15.333	0.48	13.5	0.37	3.7	4.5	349
646	16/11/19	15.498	0.45	13.5	0.36	3.7	4.3	12
647	16/11/19	15.664	0.43	13.5	0.33	3.2	3.6	33
648	16/11/19	15.830	0.43	13.5	0.35	3.7	4.8	48
649	16/11/19	16.000	0.38	13.4	0.31	4	4.4	48
650	16/11/19	16.166	0.36	13.4	0.26	3.8	4.2	35
651	16/11/19	16.333	0.35	13.4	0.27	3.8	4.7	30
652	16/11/19	16.498	0.32	13.3	0.24	3.9	4.4	24
653	16/11/19	16.664	0.31	13.3	0.2	3.4	4	30
654	16/11/19	16.830	0.28	13.3	0.2	3.5	4.2	35
655	16/11/19	17.000	0.26	13.3	0.23	3.4	4.1	37
656	16/11/19	17.166	0.24	13.2	0.25	4.2	5.2	37
657	16/11/19	17.333	0.23	13.2	0.24	4.1	4.7	35
658	16/11/19	17.498	0.23	13.2	0.22	4.2	4.9	34
659	16/11/19	17.664	0.21	13.2	0.22	4.3	5	36
660	16/11/19	17.830	0.2	13.1	0.24	4.6	5.2	43
661	16/11/19	18.000	0.19	13.1	0.27	4.8	5.6	54
662	16/11/19	18.166	0.19	13.1	0.27	4.8	5.3	56
663	16/11/19	18.333	0.2	13.2	0.28	4	4.6	33
664	16/11/19	18.498	0.2	13.2	0.3	3.5	4.1	34
665	16/11/19	18.664	0.21	13.3	0.32	3.8	4.7	33
666	16/11/19	18.830	0.22	13.3	0.36	4.1	4.7	39
667	16/11/19	19.000	0.24	13.2	0.35	4.5	5.5	48
668	16/11/19	19.166	0.26	13.3	0.3	5	5.6	46
669	16/11/19	19.333	0.26	13.3	0.35	4.9	5.5	45
670	16/11/19	19.498	0.27	13.3	0.4	4.5	5.1	45
