data	ora	altezza	temp
13/11/19	09.50	1.42	14.4
13/11/19	10.00	1.4	14.4
13/11/19	10.10	1.4	14.4
13/11/19	10.20	1.39	14.4
13/11/19	10.30	1.38	14.4
13/11/19	10.40	1.36	14.3
13/11/19	10.50	1.35	14.4
13/11/19	11.00	1.32	14.3
13/11/19	11.10	1.3	14.3
13/11/19	11.20	1.29	14.3
13/11/19	11.30	1.28	14.3
13/11/19	11.40	1.25	14.3
13/11/19	11.50	1.23	14.3
13/11/19	12.00	1.22	14.3
13/11/19	12.10	1.18	14.2
13/11/19	12.20	1.17	14.2
13/11/19	12.30	1.13	14.2
13/11/19	12.40	1.1	14.1
13/11/19	12.50	1.06	14.1
13/11/19	13.00	1.03	14.1
13/11/19	13.10	0.99	14
13/11/19	13.20	0.96	14
13/11/19	13.30	0.91	14
13/11/19	13.40	0.87	13.9
13/11/19	13.50	0.83	13.9
13/11/19	14.00	0.8	13.8
13/11/19	14.10	0.78	13.8
13/11/19	14.20	0.75	13.8
13/11/19	14.30	0.72	13.8
13/11/19	14.40	0.68	13.8
13/11/19	14.50	0.65	13.7
13/11/19	15.00	0.62	13.7
13/11/19	15.10	0.59	13.7
13/11/19	15.20	0.56	13.7
13/11/19	15.30	0.54	13.7
13/11/19	15.40	0.51	13.6
13/11/19	15.50	0.48	13.6
13/11/19	16.00	0.45	13.6
13/11/19	16.10	0.43	13.6
13/11/19	16.20	0.41	13.5
13/11/19	16.30	0.38	13.5
13/11/19	16.40	0.36	13.5
13/11/19	16.50	0.34	13.5
13/11/19	17.00	0.32	13.4
13/11/19	17.10	0.3	13.4
13/11/19	17.20	0.29	13.4
13/11/19	17.30	0.27	13.4
13/11/19	17.40	0.28	13.4
13/11/19	17.50	0.29	13.4
13/11/19	18.00	0.31	13.4
13/11/19	18.10	0.33	13.6
13/11/19	18.20	0.35	13.7
13/11/19	18.30	0.38	13.7
13/11/19	18.40	0.4	13.8
13/11/19	18.50	0.43	13.7
13/11/19	19.00	0.45	13.6
13/11/19	19.10	0.49	13.6
13/11/19	19.20	0.53	13.6
13/11/19	19.30	0.56	13.6
13/11/19	19.40	0.58	13.6
13/11/19	19.50	0.6	13.6
13/11/19	20.00	0.61	13.6
13/11/19	20.10	0.62	13.7
13/11/19	20.20	0.63	13.7
13/11/19	20.30	0.64	13.7
13/11/19	20.40	0.66	13.7
13/11/19	20.50	0.67	13.6
13/11/19	21.00	0.68	13.6
13/11/19	21.10	0.69	13.5
13/11/19	21.20	0.7	13.6
13/11/19	21.30	0.71	13.4
13/11/19	21.40	0.73	13.3
13/11/19	21.50	0.74	13.3
13/11/19	22.00	0.75	13.3
13/11/19	22.10	0.76	13.3
13/11/19	22.20	0.76	13.4
13/11/19	22.30	0.77	13.4
13/11/19	22.40	0.77	13.5
13/11/19	22.50	0.77	13.5
13/11/19	23.00	0.77	13.5
13/11/19	23.10	0.77	13.4
13/11/19	23.20	0.76	13.4
13/11/19	23.30	0.77	13.4
13/11/19	23.40	0.76	13.4
13/11/19	23.50	0.75	13.4
14/11/19	00.00	0.74	13.4
14/11/19	00.10	0.73	13.4
14/11/19	00.20	0.73	13.4
14/11/19	00.30	0.72	13.4
14/11/19	00.40	0.71	13.3
14/11/19	00.50	0.71	13.3
14/11/19	01.00	0.7	13.3
14/11/19	01.10	0.7	13.3
14/11/19	01.20	0.69	13.3
14/11/19	01.30	0.68	13.3
14/11/19	01.40	0.66	13.3
14/11/19	01.50	0.65	13.4
14/11/19	02.00	0.64	13.4
14/11/19	02.10	0.64	13.4
14/11/19	02.20	0.62	13.4
14/11/19	02.30	0.6	13.4
14/11/19	02.40	0.58	13.4
14/11/19	02.50	0.56	13.4
14/11/19	03.00	0.55	13.4
14/11/19	03.10	0.54	13.4
14/11/19	03.20	0.53	13.4
14/11/19	03.30	0.52	13.4
14/11/19	03.40	0.51	13.3
14/11/19	03.50	0.5	13.3
14/11/19	04.00	0.5	13.3
14/11/19	04.10	0.5	13.3
14/11/19	04.20	0.5	13.2
14/11/19	04.30	0.51	13.2
14/11/19	04.40	0.51	13.2
14/11/19	04.50	0.52	13.2
14/11/19	05.00	0.53	13.3
14/11/19	05.10	0.54	13.4
